,airline,date_of_journey,source,destination,duration,total_stops,price,journey_month,journey_day,journey_day_name,dep_hour,dep_range
3023,SpiceJet,2019-03-15,Kolkata,Banglore,122,0,3847,3,15,7_Friday,9,2_Morning
3024,Multiple carriers,2019-06-12,Delhi,Cochin,671,1,10877,6,12,5_Wednesday,7,2_Morning
3025,Multiple carriers,2019-04-09,Delhi,Cochin,610,1,8371,4,9,4_Tuesday,8,2_Morning
3026,Multiple carriers,2019-06-06,Delhi,Cochin,915,1,7038,6,6,6_Thursday,7,2_Morning
3027,Jet Airways,2019-06-09,Kolkata,Banglore,549,1,14571,6,9,2_Sunday,6,2_Morning
3028,Jet Airways,2019-06-09,Kolkata,Banglore,793,1,11841,6,9,2_Sunday,20,4_Evening
3029,Jet Airways,2019-05-18,Delhi,Cochin,1403,2,15129,5,18,1_Saturday,13,3_Afternoon
3030,SpiceJet,2019-06-15,Kolkata,Banglore,122,0,3841,6,15,1_Saturday,22,4_Evening
3031,Jet Airways,2019-06-24,Delhi,Cochin,1525,1,10262,6,24,3_Monday,11,2_Morning
3032,Air India,2019-04-06,Kolkata,Banglore,122,0,4460,4,6,1_Saturday,20,4_Evening
3033,IndiGo,2019-03-03,Banglore,New Delhi,122,0,7648,3,3,2_Sunday,18,4_Evening
3034,Vistara,2019-06-06,Kolkata,Banglore,793,1,8610,6,6,6_Thursday,7,2_Morning
3035,IndiGo,2019-06-18,Chennai,Kolkata,122,0,3597,6,18,4_Tuesday,13,3_Afternoon
3036,IndiGo,2019-06-24,Delhi,Cochin,488,1,6442,6,24,3_Monday,7,2_Morning
3037,IndiGo,2019-03-09,Delhi,Cochin,854,1,12351,3,9,1_Saturday,6,2_Morning
3038,Multiple carriers,2019-05-21,Delhi,Cochin,8,1,14067,5,21,4_Tuesday,17,3_Afternoon
3039,IndiGo,2019-05-15,Banglore,Delhi,122,0,4823,5,15,5_Wednesday,20,4_Evening
3040,Vistara,2019-03-24,Kolkata,Banglore,1769,1,12102,3,24,2_Sunday,17,3_Afternoon
3041,Jet Airways,2019-05-24,Mumbai,Hyderabad,61,0,8040,5,24,7_Friday,7,2_Morning
3042,IndiGo,2019-05-09,Delhi,Cochin,305,1,6582,5,9,6_Thursday,2,1_Early Morning
3043,Vistara,2019-06-12,Banglore,Delhi,122,0,4668,6,12,5_Wednesday,11,2_Morning
3044,IndiGo,2019-04-01,Banglore,Delhi,122,0,4823,4,1,3_Monday,20,4_Evening
3045,SpiceJet,2019-05-01,Kolkata,Banglore,122,0,3873,5,1,5_Wednesday,22,4_Evening
3046,Multiple carriers,2019-05-18,Delhi,Cochin,488,1,8476,5,18,1_Saturday,10,2_Morning
3047,IndiGo,2019-05-27,Delhi,Cochin,305,1,5636,5,27,3_Monday,7,2_Morning
3048,Jet Airways,2019-05-12,Kolkata,Banglore,671,1,8586,5,12,2_Sunday,8,2_Morning
3049,IndiGo,2019-06-06,Banglore,Delhi,122,0,4823,6,6,6_Thursday,18,4_Evening
3050,Air India,2019-03-06,Delhi,Cochin,122,0,6881,3,6,5_Wednesday,5,1_Early Morning
3051,Jet Airways,2019-05-09,Kolkata,Banglore,488,1,10844,5,9,6_Thursday,14,3_Afternoon
3052,IndiGo,2019-04-24,Kolkata,Banglore,183,1,4226,4,24,5_Wednesday,19,4_Evening
3053,Jet Airways,2019-05-09,Delhi,Cochin,1403,1,12373,5,9,6_Thursday,19,4_Evening
3054,Air India,2019-06-06,Kolkata,Banglore,793,2,10697,6,6,6_Thursday,8,2_Morning
3055,Jet Airways,2019-06-03,Mumbai,Hyderabad,61,0,4995,6,3,3_Monday,10,2_Morning
3056,Air India,2019-06-24,Delhi,Cochin,1586,2,9443,6,24,3_Monday,16,3_Afternoon
3057,Jet Airways,2019-03-21,Delhi,Cochin,34,2,12347,3,21,6_Thursday,18,4_Evening
3058,Multiple carriers,2019-06-09,Delhi,Cochin,8,1,7408,6,9,2_Sunday,13,3_Afternoon
3059,Jet Airways,2019-04-01,Kolkata,Banglore,854,1,7064,4,1,3_Monday,18,4_Evening
3060,Jet Airways,2019-03-06,Delhi,Cochin,915,1,13843,3,6,5_Wednesday,13,3_Afternoon
3061,IndiGo,2019-04-12,Kolkata,Banglore,122,0,4174,4,12,7_Friday,15,3_Afternoon
3062,Multiple carriers,2019-05-15,Delhi,Cochin,549,3,16294,5,15,5_Wednesday,11,2_Morning
3063,SpiceJet,2019-05-18,Kolkata,Banglore,122,0,3841,5,18,1_Saturday,6,2_Morning
3064,IndiGo,2019-06-15,Banglore,Delhi,122,0,4423,6,15,1_Saturday,4,1_Early Morning
3065,Air India,2019-06-12,Delhi,Cochin,122,0,5201,6,12,5_Wednesday,5,1_Early Morning
3066,Air India,2019-03-03,Banglore,New Delhi,1708,2,12599,3,3,2_Sunday,6,2_Morning
3067,IndiGo,2019-05-21,Mumbai,Hyderabad,61,0,4049,5,21,4_Tuesday,6,2_Morning
3068,Air India,2019-05-24,Kolkata,Banglore,1525,2,12797,5,24,7_Friday,9,2_Morning
3069,Jet Airways,2019-05-24,Kolkata,Banglore,854,1,13067,5,24,7_Friday,20,4_Evening
3070,Vistara,2019-05-24,Kolkata,Banglore,1342,1,9345,5,24,7_Friday,20,4_Evening
3071,IndiGo,2019-05-21,Delhi,Cochin,427,1,6818,5,21,4_Tuesday,5,1_Early Morning
3072,Jet Airways,2019-05-03,Mumbai,Hyderabad,61,0,8040,5,3,7_Friday,10,2_Morning
3073,Jet Airways,2019-06-12,Delhi,Cochin,1098,2,14300,6,12,5_Wednesday,18,4_Evening
3074,Multiple carriers,2019-05-15,Delhi,Cochin,427,1,13727,5,15,5_Wednesday,18,4_Evening
3075,Jet Airways,2019-03-21,Banglore,New Delhi,1037,1,7832,3,21,6_Thursday,16,3_Afternoon
3076,Multiple carriers,2019-03-09,Delhi,Cochin,488,1,16259,3,9,1_Saturday,4,1_Early Morning
3077,IndiGo,2019-06-27,Banglore,Delhi,122,0,4823,6,27,6_Thursday,8,2_Morning
3078,Jet Airways,2019-03-06,Banglore,New Delhi,1220,1,16736,3,6,5_Wednesday,11,2_Morning
3079,Air India,2019-06-06,Kolkata,Banglore,20,2,13217,6,6,6_Thursday,9,2_Morning
3080,Multiple carriers,2019-03-27,Delhi,Cochin,488,1,6637,3,27,5_Wednesday,12,3_Afternoon
3081,Jet Airways,2019-06-09,Kolkata,Banglore,1037,1,10844,6,9,2_Sunday,18,4_Evening
3082,Multiple carriers,2019-03-21,Delhi,Cochin,549,1,8401,3,21,6_Thursday,10,2_Morning
3083,SpiceJet,2019-04-12,Kolkata,Banglore,122,0,3873,4,12,7_Friday,9,2_Morning
3084,Jet Airways,2019-06-24,Delhi,Cochin,488,2,12410,6,24,3_Monday,20,4_Evening
3085,Jet Airways,2019-05-18,Delhi,Cochin,793,2,15129,5,18,1_Saturday,23,4_Evening
3086,IndiGo,2019-05-01,Banglore,Delhi,122,0,4423,5,1,5_Wednesday,13,3_Afternoon
3087,Jet Airways,2019-05-27,Delhi,Cochin,6,1,16079,5,27,3_Monday,13,3_Afternoon
3088,Air India,2019-06-06,Kolkata,Banglore,1098,2,15894,6,6,6_Thursday,14,3_Afternoon
3089,Multiple carriers,2019-05-15,Delhi,Cochin,854,1,9103,5,15,5_Wednesday,4,1_Early Morning
3090,Air India,2019-06-12,Delhi,Cochin,1342,1,8991,6,12,5_Wednesday,9,2_Morning
3091,Air India,2019-04-01,Kolkata,Banglore,1525,2,7893,4,1,3_Monday,16,3_Afternoon
3092,IndiGo,2019-03-03,Mumbai,Hyderabad,61,0,4575,3,3,2_Sunday,2,1_Early Morning
3093,SpiceJet,2019-05-03,Kolkata,Banglore,122,0,3873,5,3,7_Friday,9,2_Morning
3094,Jet Airways,2019-03-21,Banglore,New Delhi,915,1,7832,3,21,6_Thursday,5,1_Early Morning
3095,IndiGo,2019-05-01,Chennai,Kolkata,122,0,3597,5,1,5_Wednesday,14,3_Afternoon
3096,Jet Airways,2019-03-24,Kolkata,Banglore,1586,1,13759,3,24,2_Sunday,21,4_Evening
3097,Jet Airways,2019-05-27,Banglore,Delhi,183,0,7229,5,27,3_Monday,18,4_Evening
3098,SpiceJet,2019-04-15,Kolkata,Banglore,122,0,3873,4,15,3_Monday,6,2_Morning
3099,Multiple carriers,2019-05-15,Delhi,Cochin,13,1,9794,5,15,5_Wednesday,6,2_Morning
3100,Air India,2019-03-27,Delhi,Cochin,1098,1,6681,3,27,5_Wednesday,13,3_Afternoon
3101,IndiGo,2019-04-21,Banglore,Delhi,3,0,4423,4,21,2_Sunday,21,4_Evening
3102,Jet Airways,2019-05-15,Kolkata,Banglore,671,1,10844,5,15,5_Wednesday,8,2_Morning
3103,IndiGo,2019-06-01,Delhi,Cochin,671,1,7258,6,1,1_Saturday,9,2_Morning
3104,Jet Airways,2019-06-12,Mumbai,Hyderabad,61,0,4995,6,12,5_Wednesday,10,2_Morning
3105,Jet Airways,2019-06-09,Delhi,Cochin,1342,1,14924,6,9,2_Sunday,20,4_Evening
3106,Vistara,2019-03-15,Banglore,New Delhi,1647,1,6590,3,15,7_Friday,6,2_Morning
3107,Jet Airways,2019-06-03,Delhi,Cochin,915,1,10262,6,3,3_Monday,20,4_Evening
3108,SpiceJet,2019-03-09,Kolkata,Banglore,122,0,5515,3,9,1_Saturday,9,2_Morning
3109,Jet Airways,2019-03-27,Delhi,Cochin,1464,2,6643,3,27,5_Wednesday,19,4_Evening
3110,IndiGo,2019-06-09,Delhi,Cochin,305,1,6493,6,9,2_Sunday,17,3_Afternoon
3111,IndiGo,2019-05-24,Kolkata,Banglore,305,1,6218,5,24,7_Friday,18,4_Evening
3112,Air India,2019-06-06,Delhi,Cochin,793,2,10861,6,6,6_Thursday,5,1_Early Morning
3113,IndiGo,2019-03-06,Delhi,Cochin,488,1,7094,3,6,5_Wednesday,7,2_Morning
3114,Jet Airways,2019-04-21,Banglore,Delhi,3,0,4544,4,21,2_Sunday,19,4_Evening
3115,Air India,2019-03-21,Banglore,New Delhi,610,2,7664,3,21,6_Thursday,5,1_Early Morning
3116,Jet Airways,2019-06-27,Banglore,Delhi,3,0,8016,6,27,6_Thursday,17,3_Afternoon
3117,Air Asia,2019-05-27,Kolkata,Banglore,122,0,3807,5,27,3_Monday,22,4_Evening
3118,Air India,2019-06-03,Delhi,Cochin,732,2,12698,6,3,3_Monday,7,2_Morning
3119,Jet Airways,2019-05-24,Kolkata,Banglore,1342,1,8586,5,24,7_Friday,6,2_Morning
3120,Jet Airways,2019-04-01,Kolkata,Banglore,1342,1,7064,4,1,3_Monday,6,2_Morning
3121,IndiGo,2019-06-09,Delhi,Cochin,183,0,5601,6,9,2_Sunday,5,1_Early Morning
3122,SpiceJet,2019-05-21,Delhi,Cochin,366,1,7317,5,21,4_Tuesday,15,3_Afternoon
3123,Air India,2019-05-06,Kolkata,Banglore,1464,3,12797,5,6,3_Monday,10,2_Morning
3124,IndiGo,2019-04-06,Kolkata,Banglore,244,1,4226,4,6,1_Saturday,6,2_Morning
3125,Jet Airways,2019-05-12,Kolkata,Banglore,366,1,14151,5,12,2_Sunday,17,3_Afternoon
3126,IndiGo,2019-03-27,Delhi,Cochin,854,1,6628,3,27,5_Wednesday,10,2_Morning
3127,IndiGo,2019-03-09,Banglore,New Delhi,122,0,8033,3,9,1_Saturday,4,1_Early Morning
3128,Multiple carriers,2019-06-01,Delhi,Cochin,488,1,11200,6,1,1_Saturday,10,2_Morning
3129,IndiGo,2019-06-24,Kolkata,Banglore,122,0,4804,6,24,3_Monday,15,3_Afternoon
3130,Air Asia,2019-06-12,Kolkata,Banglore,12,1,5192,6,12,5_Wednesday,22,4_Evening
3131,Jet Airways,2019-06-12,Delhi,Cochin,1098,2,13014,6,12,5_Wednesday,9,2_Morning
3132,Jet Airways,2019-05-21,Kolkata,Banglore,1525,1,10844,5,21,4_Tuesday,21,4_Evening
3133,Multiple carriers,2019-03-06,Delhi,Cochin,488,1,15603,3,6,5_Wednesday,7,2_Morning
3134,GoAir,2019-04-03,Banglore,Delhi,122,0,4239,4,3,5_Wednesday,7,2_Morning
3135,Jet Airways,2019-06-12,Kolkata,Banglore,20,1,13044,6,12,5_Wednesday,14,3_Afternoon
3136,Jet Airways,2019-05-27,Delhi,Cochin,1464,1,12898,5,27,3_Monday,18,4_Evening
3137,SpiceJet,2019-04-01,Kolkata,Banglore,488,1,6013,4,1,3_Monday,8,2_Morning
3138,Jet Airways,2019-05-06,Kolkata,Banglore,366,1,14781,5,6,3_Monday,16,3_Afternoon
3139,Jet Airways,2019-03-21,Delhi,Cochin,610,1,12557,3,21,6_Thursday,17,3_Afternoon
3140,Multiple carriers,2019-03-06,Delhi,Cochin,854,1,13875,3,6,5_Wednesday,4,1_Early Morning
3141,Jet Airways,2019-06-15,Delhi,Cochin,1098,2,11507,6,15,1_Saturday,9,2_Morning
3142,Air India,2019-06-18,Kolkata,Banglore,122,0,5510,6,18,4_Tuesday,14,3_Afternoon
3143,GoAir,2019-03-24,Kolkata,Banglore,427,1,10198,3,24,2_Sunday,16,3_Afternoon
3144,Jet Airways,2019-06-12,Kolkata,Banglore,427,1,8355,6,12,5_Wednesday,10,2_Morning
3145,Jet Airways,2019-06-01,Banglore,Delhi,183,0,8016,6,1,1_Saturday,18,4_Evening
3146,IndiGo,2019-05-27,Delhi,Cochin,610,1,6314,5,27,3_Monday,10,2_Morning
3147,Air India,2019-03-09,Delhi,Cochin,122,0,5831,3,9,1_Saturday,5,1_Early Morning
3148,Jet Airways,2019-06-24,Delhi,Cochin,549,1,10262,6,24,3_Monday,19,4_Evening
3149,Multiple carriers,2019-03-06,Delhi,Cochin,671,1,15136,3,6,5_Wednesday,13,3_Afternoon
3150,Jet Airways,2019-03-21,Banglore,New Delhi,793,1,7832,3,21,6_Thursday,20,4_Evening
3151,SpiceJet,2019-03-24,Chennai,Kolkata,122,0,3859,3,24,2_Sunday,8,2_Morning
3152,IndiGo,2019-04-06,Kolkata,Banglore,122,0,4174,4,6,1_Saturday,15,3_Afternoon
3153,Jet Airways,2019-03-06,Banglore,New Delhi,305,1,19225,3,6,5_Wednesday,5,1_Early Morning
3154,IndiGo,2019-03-09,Delhi,Cochin,976,1,10518,3,9,1_Saturday,4,1_Early Morning
3155,IndiGo,2019-04-06,Banglore,Delhi,122,0,4823,4,6,1_Saturday,7,2_Morning
3156,Air India,2019-03-24,Banglore,New Delhi,122,0,7276,3,24,2_Sunday,10,2_Morning
3157,Multiple carriers,2019-06-09,Delhi,Cochin,9,1,12192,6,9,2_Sunday,10,2_Morning
3158,Air Asia,2019-06-01,Delhi,Cochin,854,1,11410,6,1,1_Saturday,16,3_Afternoon
3159,Jet Airways,2019-03-01,Banglore,New Delhi,549,1,26890,3,1,7_Friday,5,1_Early Morning
3160,IndiGo,2019-06-27,Kolkata,Banglore,122,0,4804,6,27,6_Thursday,15,3_Afternoon
3161,Jet Airways,2019-05-15,Kolkata,Banglore,1525,1,10844,5,15,5_Wednesday,18,4_Evening
3162,Air India,2019-06-12,Delhi,Cochin,1830,2,12436,6,12,5_Wednesday,12,3_Afternoon
3163,IndiGo,2019-06-21,Banglore,Delhi,122,0,4823,6,21,7_Friday,7,2_Morning
3164,Jet Airways,2019-06-01,Delhi,Cochin,915,1,10262,6,1,1_Saturday,20,4_Evening
3165,Jet Airways,2019-03-03,Delhi,Cochin,1220,1,17024,3,3,2_Sunday,8,2_Morning
3166,Jet Airways,2019-03-27,Delhi,Cochin,1342,2,9296,3,27,5_Wednesday,6,2_Morning
3167,Air India,2019-06-06,Delhi,Cochin,183,0,6094,6,6,6_Thursday,18,4_Evening
3168,Jet Airways,2019-06-09,Kolkata,Banglore,1220,1,8586,6,9,2_Sunday,8,2_Morning
3169,Jet Airways,2019-06-15,Delhi,Cochin,1281,2,10919,6,15,1_Saturday,6,2_Morning
3170,GoAir,2019-06-09,Kolkata,Banglore,427,1,9495,6,9,2_Sunday,16,3_Afternoon
3171,Jet Airways,2019-06-12,Delhi,Cochin,366,1,14714,6,12,5_Wednesday,21,4_Evening
3172,Air India,2019-06-24,Delhi,Cochin,3,0,5201,6,24,3_Monday,14,3_Afternoon
3173,Air India,2019-03-27,Delhi,Cochin,1403,2,7090,3,27,5_Wednesday,9,2_Morning
3174,IndiGo,2019-05-15,Mumbai,Hyderabad,61,0,4575,5,15,5_Wednesday,9,2_Morning
3175,Multiple carriers,2019-05-15,Delhi,Cochin,549,1,9646,5,15,5_Wednesday,7,2_Morning
3176,IndiGo,2019-06-12,Delhi,Cochin,305,1,5636,6,12,5_Wednesday,2,1_Early Morning
3177,Multiple carriers,2019-06-15,Delhi,Cochin,549,1,9646,6,15,1_Saturday,7,2_Morning
3178,Jet Airways,2019-03-09,Mumbai,Hyderabad,61,0,4050,3,9,1_Saturday,19,4_Evening
3179,Jet Airways,2019-06-09,Delhi,Cochin,1281,1,14714,6,9,2_Sunday,21,4_Evening
3180,IndiGo,2019-06-18,Kolkata,Banglore,122,0,4804,6,18,4_Tuesday,15,3_Afternoon
3181,Jet Airways,2019-06-09,Delhi,Cochin,1464,1,10577,6,9,2_Sunday,18,4_Evening
3182,GoAir,2019-06-15,Banglore,Delhi,122,0,3898,6,15,1_Saturday,20,4_Evening
3183,Jet Airways,2019-06-06,Kolkata,Banglore,16,1,14571,6,6,6_Thursday,20,4_Evening
3184,Jet Airways,2019-06-18,Banglore,Delhi,122,0,8016,6,18,4_Tuesday,6,2_Morning
3185,IndiGo,2019-03-21,Delhi,Cochin,427,1,6287,3,21,6_Thursday,4,1_Early Morning
3186,Air India,2019-06-06,Kolkata,Banglore,915,1,8366,6,6,6_Thursday,16,3_Afternoon
3187,Jet Airways,2019-03-06,Delhi,Cochin,427,1,15400,3,6,5_Wednesday,11,2_Morning
3188,Vistara,2019-03-03,Banglore,New Delhi,122,0,8553,3,3,2_Sunday,19,4_Evening
3189,SpiceJet,2019-04-09,Kolkata,Banglore,122,0,3841,4,9,4_Tuesday,6,2_Morning
3190,Air India,2019-04-09,Delhi,Cochin,1525,2,10021,4,9,4_Tuesday,5,1_Early Morning
3191,SpiceJet,2019-06-24,Chennai,Kolkata,122,0,3597,6,24,3_Monday,17,3_Afternoon
3192,IndiGo,2019-05-24,Chennai,Kolkata,122,0,4332,5,24,7_Friday,11,2_Morning
3193,GoAir,2019-06-21,Banglore,Delhi,122,0,3898,6,21,7_Friday,20,4_Evening
3194,Jet Airways,2019-03-06,Mumbai,Hyderabad,1647,2,21375,3,6,5_Wednesday,13,3_Afternoon
3195,Vistara,2019-06-06,Kolkata,Banglore,976,1,8610,6,6,6_Thursday,7,2_Morning
3196,IndiGo,2019-06-15,Kolkata,Banglore,122,0,4804,6,15,1_Saturday,17,3_Afternoon
3197,Air India,2019-06-01,Delhi,Cochin,1708,2,13591,6,1,1_Saturday,14,3_Afternoon
3198,Jet Airways,2019-05-06,Kolkata,Banglore,549,1,14781,5,6,3_Monday,6,2_Morning
3199,Jet Airways,2019-03-15,Banglore,New Delhi,305,1,9134,3,15,7_Friday,8,2_Morning
3200,Air India,2019-06-09,Delhi,Cochin,1525,2,10493,6,9,2_Sunday,5,1_Early Morning
3201,Jet Airways,2019-03-24,Banglore,New Delhi,1281,1,8147,3,24,2_Sunday,11,2_Morning
3202,SpiceJet,2019-06-21,Kolkata,Banglore,122,0,3873,6,21,7_Friday,22,4_Evening
3203,Jet Airways,2019-06-09,Kolkata,Banglore,1037,1,14571,6,9,2_Sunday,18,4_Evening
3204,Air India,2019-03-03,Banglore,New Delhi,610,2,11003,3,3,2_Sunday,10,2_Morning
3205,Jet Airways,2019-06-03,Delhi,Cochin,549,1,10262,6,3,3_Monday,19,4_Evening
3206,Jet Airways,2019-03-21,Delhi,Cochin,976,1,12719,3,21,6_Thursday,2,1_Early Morning
3207,Jet Airways,2019-06-24,Delhi,Cochin,1342,1,10262,6,24,3_Monday,20,4_Evening
3208,Air India,2019-06-21,Banglore,Delhi,122,0,7171,6,21,7_Friday,17,3_Afternoon
3209,SpiceJet,2019-04-27,Banglore,Delhi,122,0,4423,4,27,1_Saturday,5,1_Early Morning
3210,Multiple carriers,2019-03-09,Delhi,Cochin,488,1,12616,3,9,1_Saturday,17,3_Afternoon
3211,Air India,2019-06-01,Delhi,Cochin,26,2,12970,6,1,1_Saturday,17,3_Afternoon
3212,Jet Airways,2019-03-24,Kolkata,Banglore,732,1,14914,3,24,2_Sunday,21,4_Evening
3213,Jet Airways,2019-05-06,Mumbai,Hyderabad,61,0,3210,5,6,3_Monday,2,1_Early Morning
3214,GoAir,2019-04-21,Banglore,Delhi,122,0,4632,4,21,2_Sunday,7,2_Morning
3215,Jet Airways,2019-05-09,Delhi,Cochin,610,1,12373,5,9,6_Thursday,17,3_Afternoon
3216,IndiGo,2019-06-15,Kolkata,Banglore,122,0,4804,6,15,1_Saturday,14,3_Afternoon
3217,Multiple carriers,2019-03-03,Delhi,Cochin,549,3,21829,3,3,2_Sunday,11,2_Morning
3218,Multiple carriers,2019-06-01,Delhi,Cochin,13,1,13587,6,1,1_Saturday,8,2_Morning
3219,Jet Airways,2019-06-27,Delhi,Cochin,1769,2,12819,6,27,6_Thursday,23,4_Evening
3220,Air Asia,2019-03-27,Delhi,Cochin,11,1,6151,3,27,5_Wednesday,20,4_Evening
3221,Jet Airways,2019-06-01,Banglore,Delhi,122,0,8016,6,1,1_Saturday,15,3_Afternoon
3222,Multiple carriers,2019-03-06,Delhi,Cochin,671,1,15135,3,6,5_Wednesday,7,2_Morning
3223,IndiGo,2019-05-21,Delhi,Cochin,488,1,6794,5,21,4_Tuesday,17,3_Afternoon
3224,Vistara,2019-05-15,Kolkata,Banglore,1647,1,8610,5,15,5_Wednesday,17,3_Afternoon
3225,Air India,2019-05-18,Kolkata,Banglore,1830,2,12723,5,18,1_Saturday,5,1_Early Morning
3226,Air India,2019-06-06,Kolkata,Banglore,1525,1,7662,6,6,6_Thursday,12,3_Afternoon
3227,Multiple carriers,2019-03-09,Delhi,Cochin,488,1,14343,3,9,1_Saturday,17,3_Afternoon
3228,Multiple carriers,2019-06-01,Delhi,Cochin,915,1,6795,6,1,1_Saturday,10,2_Morning
3229,SpiceJet,2019-05-09,Kolkata,Banglore,122,0,3873,5,9,6_Thursday,22,4_Evening
3230,Air India,2019-03-06,Mumbai,Hyderabad,915,1,16666,3,6,5_Wednesday,6,2_Morning
3231,Multiple carriers,2019-06-01,Delhi,Cochin,427,1,11098,6,1,1_Saturday,4,1_Early Morning
3232,Jet Airways,2019-06-09,Kolkata,Banglore,1769,1,10539,6,9,2_Sunday,17,3_Afternoon
3233,Air India,2019-05-27,Delhi,Cochin,732,1,9929,5,27,3_Monday,7,2_Morning
3234,Jet Airways,2019-05-12,Kolkata,Banglore,1403,1,10844,5,12,2_Sunday,16,3_Afternoon
3235,Jet Airways,2019-06-06,Kolkata,Banglore,1708,1,12692,6,6,6_Thursday,9,2_Morning
3236,Jet Airways,2019-03-21,Delhi,Cochin,427,1,9212,3,21,6_Thursday,20,4_Evening
3237,Multiple carriers,2019-05-15,Delhi,Cochin,610,1,13727,5,15,5_Wednesday,15,3_Afternoon
3238,Air Asia,2019-06-15,Banglore,Delhi,122,0,4282,6,15,1_Saturday,4,1_Early Morning
3239,Jet Airways,2019-05-24,Kolkata,Banglore,1281,1,10844,5,24,7_Friday,18,4_Evening
3240,Air India,2019-06-27,Delhi,Cochin,976,1,7480,6,27,6_Thursday,17,3_Afternoon
3241,IndiGo,2019-05-01,Banglore,Delhi,3,0,4823,5,1,5_Wednesday,16,3_Afternoon
3242,Jet Airways,2019-05-18,Delhi,Cochin,793,1,12373,5,18,1_Saturday,22,4_Evening
3243,Multiple carriers,2019-03-21,Delhi,Cochin,549,1,7215,3,21,6_Thursday,11,2_Morning
3244,Air India,2019-05-09,Delhi,Cochin,1647,1,7480,5,9,6_Thursday,6,2_Morning
3245,Multiple carriers,2019-06-24,Delhi,Cochin,12,1,8143,6,24,3_Monday,9,2_Morning
3246,IndiGo,2019-05-03,Banglore,Delhi,122,0,4823,5,3,7_Friday,18,4_Evening
3247,Jet Airways,2019-06-06,Kolkata,Banglore,732,1,10844,6,6,6_Thursday,20,4_Evening
3248,SpiceJet,2019-04-12,Banglore,Delhi,122,0,5621,4,12,7_Friday,21,4_Evening
3249,Vistara,2019-05-18,Kolkata,Banglore,24,1,9555,5,18,1_Saturday,20,4_Evening
3250,IndiGo,2019-03-21,Banglore,New Delhi,122,0,4777,3,21,6_Thursday,1,1_Early Morning
3251,SpiceJet,2019-03-03,Banglore,New Delhi,122,0,7648,3,3,2_Sunday,9,2_Morning
3252,IndiGo,2019-04-01,Kolkata,Banglore,244,1,10308,4,1,3_Monday,9,2_Morning
3253,Jet Airways,2019-05-24,Delhi,Cochin,427,2,21219,5,24,7_Friday,11,2_Morning
3254,IndiGo,2019-05-06,Kolkata,Banglore,244,1,11319,5,6,3_Monday,9,2_Morning
3255,Jet Airways,2019-05-15,Kolkata,Banglore,1403,1,10844,5,15,5_Wednesday,21,4_Evening
3256,Multiple carriers,2019-05-09,Delhi,Cochin,427,1,15078,5,9,6_Thursday,18,4_Evening
3257,Air Asia,2019-06-01,Kolkata,Banglore,122,0,4409,6,1,1_Saturday,22,4_Evening
3258,IndiGo,2019-06-09,Delhi,Cochin,244,1,5054,6,9,2_Sunday,7,2_Morning
3259,Air India,2019-03-15,Banglore,New Delhi,976,2,10111,3,15,7_Friday,5,1_Early Morning
3260,SpiceJet,2019-03-18,Banglore,New Delhi,122,0,4273,3,18,3_Monday,20,4_Evening
3261,Air India,2019-05-24,Kolkata,Banglore,915,1,8576,5,24,7_Friday,16,3_Afternoon
3262,Jet Airways,2019-06-03,Banglore,Delhi,3,0,8016,6,3,3_Monday,17,3_Afternoon
3263,Jet Airways,2019-06-09,Banglore,Delhi,122,0,8016,6,9,2_Sunday,15,3_Afternoon
3264,Jet Airways,2019-05-18,Kolkata,Banglore,1647,1,14151,5,18,1_Saturday,20,4_Evening
3265,IndiGo,2019-04-15,Banglore,Delhi,122,0,4423,4,15,3_Monday,6,2_Morning
3266,Jet Airways,2019-06-15,Mumbai,Hyderabad,61,0,4050,6,15,1_Saturday,7,2_Morning
3267,Jet Airways,2019-05-06,Kolkata,Banglore,305,1,14781,5,6,3_Monday,14,3_Afternoon
3268,Jet Airways,2019-05-15,Kolkata,Banglore,732,1,8586,5,15,5_Wednesday,20,4_Evening
3269,Air Asia,2019-05-21,Kolkata,Banglore,183,1,5162,5,21,4_Tuesday,19,4_Evening
3270,Jet Airways,2019-06-09,Kolkata,Banglore,427,1,13731,6,9,2_Sunday,21,4_Evening
3271,Jet Airways,2019-03-21,Delhi,Cochin,915,1,7438,3,21,6_Thursday,13,3_Afternoon
3272,Jet Airways,2019-05-15,Kolkata,Banglore,1525,1,14151,5,15,5_Wednesday,9,2_Morning
3273,Vistara,2019-04-12,Banglore,Delhi,122,0,5613,4,12,7_Friday,21,4_Evening
3274,IndiGo,2019-05-15,Kolkata,Banglore,244,1,5380,5,15,5_Wednesday,15,3_Afternoon
3275,Jet Airways,2019-03-21,Delhi,Cochin,976,1,7438,3,21,6_Thursday,11,2_Morning
3276,Multiple carriers,2019-06-01,Delhi,Cochin,915,1,9646,6,1,1_Saturday,7,2_Morning
3277,Air Asia,2019-05-15,Delhi,Cochin,610,1,6853,5,15,5_Wednesday,20,4_Evening
3278,Jet Airways,2019-03-18,Banglore,New Delhi,366,1,13555,3,18,3_Monday,14,3_Afternoon
3279,IndiGo,2019-06-15,Delhi,Cochin,8,1,5883,6,15,1_Saturday,17,3_Afternoon
3280,IndiGo,2019-03-09,Delhi,Cochin,427,1,6171,3,9,1_Saturday,4,1_Early Morning
